ID,0.25,0.5,1.0,2.0,4.0,6.0
A80360,True,True,True,True,True,True
A80442,False,True,True,True,True,True
A80477,True,True,True,True,True,True
A80517,True,True,True,True,True,True
A80528,True,True,True,True,True,True
A80529,True,True,True,True,True,True
A80533,True,True,True,True,True,True
A80568,True,True,True,True,True,True
A80609,True,True,True,True,True,True
A80610,True,True,True,True,True,True
A80640,True,True,True,True,True,True
A80665,True,True,True,True,True,True
A80693,True,True,True,True,True,True
A80710,True,True,True,True,True,True
A80761,True,True,True,True,True,True
A80811,True,True,True,True,True,True
A80814,True,True,True,True,True,True
A80820,True,True,True,True,True,True
A80824,True,True,True,True,True,True
A80834,True,True,True,True,True,True
A80888,True,True,True,True,True,True
A80915,True,True,True,True,True,True
A80929,True,True,True,True,True,True
A81024,True,True,True,True,True,True
A81091,True,True,True,True,True,True
A81099,True,True,True,True,True,True
A81100,True,True,True,True,True,True
A81126,True,True,True,True,True,True
A81135,True,True,True,True,True,True
A81170,True,True,True,True,True,True
A81241,True,True,True,True,True,True
A81377,True,True,True,True,True,True
A81381,True,True,True,True,True,True
A81401,True,True,True,True,True,True
A81442,True,True,True,True,True,True
A81444,True,True,True,True,True,True
A81457,True,True,True,True,True,True
A81553,True,True,True,True,True,True
A81563,True,True,False,True,True,True
A81574,True,True,True,True,True,False
A81630,True,True,True,True,True,True
A81636,True,True,True,True,True,True
A81692,True,True,True,True,True,True
A81704,True,True,True,True,True,True
A81716,True,True,True,True,True,False
A81754,True,True,True,True,True,True
A81775,True,True,True,True,True,True
A81779,True,True,True,True,True,True
A81783,True,True,True,True,True,True
A81795,True,True,True,True,True,True
A81804,True,True,True,True,True,True
A81808,True,True,True,True,True,True
A81811,True,True,True,True,True,True
A81855,True,True,True,True,True,True
A81889,True,True,True,True,True,True
A81893,True,True,True,True,True,True
A81921,True,True,True,True,True,True
A81938,True,True,True,True,True,True
A81968,True,True,True,True,True,True
A81991,True,True,True,True,True,True
A82017,True,True,True,True,True,True
A82077,True,True,True,True,True,True
A82091,True,True,True,True,True,True
A82092,True,True,True,True,False,False
A82169,True,True,True,True,True,True
A82170,True,True,True,True,True,True
A82180,True,True,True,True,True,True
A82195,True,True,True,True,True,True
A82197,True,True,True,True,True,True
A82254,True,True,True,True,True,True
A82291,True,True,True,True,True,True
A82300,True,True,True,True,True,True
A82318,True,True,True,True,True,True
A82333,True,True,True,True,True,False
A82357,True,True,True,True,True,True
A82405,True,True,True,True,True,True
A82455,True,True,True,True,True,True
A82458,True,True,True,True,True,True
A82498,True,True,True,True,True,True
A82509,True,True,True,True,True,True
A82547,True,True,True,True,True,True
A82550,True,True,True,True,True,True
A82558,True,True,True,True,True,True
A82579,True,True,True,True,True,True
A82580,True,True,True,True,True,True
A82598,True,True,True,True,True,True
A82609,True,True,True,True,True,True
A82642,True,True,True,True,True,True
A82721,True,True,True,True,True,True
A82768,True,True,True,True,True,True
A82771,True,True,True,True,True,True
A82774,True,True,True,True,True,True
A82791,True,True,True,True,True,True
A82847,True,True,True,True,True,True
A82899,True,True,True,True,True,True
A82902,True,True,True,True,True,True
A82903,True,True,True,True,False,False
A82914,True,True,True,True,True,True
A82944,True,True,True,True,True,True
A82951,True,True,True,True,True,True
A82968,True,True,True,True,True,False
A82978,True,True,True,True,True,True
A82981,True,True,True,True,True,True
A82994,True,True,True,True,True,True
A83003,True,True,True,True,True,True
A83031,True,True,True,True,True,True
A83037,True,True,True,True,True,True
A83069,True,True,True,True,True,True
A83084,False,False,True,True,False,False
A83094,True,True,True,True,True,True
A83101,True,True,True,True,True,True
A83118,True,True,True,True,True,True
A83163,True,True,True,True,True,True
A83165,True,True,True,True,True,True
A83166,True,True,True,True,True,True
A83208,True,True,True,True,True,True
A83241,True,True,True,True,True,True
A83281,True,True,True,True,True,True
A83283,True,True,True,True,True,True
A83284,True,True,True,True,True,True
A83293,True,True,True,True,True,True
A83302,True,True,True,True,True,True
A83338,True,True,True,True,True,True
A83344,True,True,True,True,True,True
A83405,False,False,False,False,False,False
A83427,True,True,True,True,True,True
A83437,True,True,True,True,True,True
A83508,True,True,True,True,True,True
A83550,True,True,True,True,True,True
A83581,True,True,True,True,True,True
A83608,True,True,True,True,True,True
A83613,True,True,True,True,True,True
A83622,True,True,True,True,True,False
A83630,True,True,True,True,True,True
A83664,True,True,True,True,True,True
A83673,True,True,True,True,True,True
A83677,True,True,True,True,True,True
A83711,True,True,True,True,True,True
A83722,True,True,True,True,True,True
A83746,True,True,True,True,True,True
A83748,True,True,True,True,True,True
A83808,True,True,True,True,True,True
A83817,True,True,True,True,True,True
A83822,True,True,True,True,True,True
A83855,True,True,True,True,True,True
A83856,True,True,True,True,True,True
A83907,True,True,True,True,True,True
A83913,True,True,True,True,True,True
A83946,True,True,True,True,True,True
A85043,True,True,True,True,True,True
A85068,True,True,True,True,True,True
A86028,True,True,True,False,False,False
A86063,True,True,True,True,True,True
A86071,True,True,True,True,True,True
A86099,True,True,True,True,True,True
A86226,True,True,True,True,True,False
A86258,True,True,True,True,True,True
A87092,True,True,True,True,True,True
A87116,True,True,True,True,True,True
A87167,True,True,True,True,True,True
A87592,True,True,True,True,True,False
A87634,True,True,True,True,True,True
A87730,True,True,True,True,True,True
A87828,True,True,True,True,True,True
A87851,True,True,True,True,True,True
A87924,True,True,True,True,True,True
A87981,True,True,True,True,True,True
A87996,True,True,True,True,True,True
A88000,True,True,True,True,True,True
A88018,True,True,True,True,True,True
A88072,True,True,True,True,True,True
A88090,True,True,True,True,True,True
A88099,True,True,True,True,True,True
A88114,True,True,True,True,True,True
A88180,True,True,True,True,True,True
A88255,True,True,True,True,True,True
A88335,True,True,True,True,True,True
A88425,True,True,True,True,True,False
A88447,True,True,True,True,True,False
A88460,True,True,True,True,True,True
A90068,True,True,True,True,True,True
A90087,True,True,True,True,True,True
A90145,True,True,True,True,True,True
A90171,True,True,True,True,True,True
A90185,True,True,True,True,True,True
A90240,False,False,False,False,False,False
A90249,True,True,True,True,True,True
